GEOID,locality,variable,label,group,estimate,moe,total_families,year
51003,"Albemarle County, Virginia",B19101_001,Total Families,All Families,27331,790,27331,2022
51003,"Albemarle County, Virginia",B19101_002,Less than 10000,All Families,362,125,27331,2022
51003,"Albemarle County, Virginia",B19101_003,10000 to 14999,All Families,178,82,27331,2022
51003,"Albemarle County, Virginia",B19101_004,15000 to 19999,All Families,261,129,27331,2022
51003,"Albemarle County, Virginia",B19101_005,20000 to 24999,All Families,398,158,27331,2022
51003,"Albemarle County, Virginia",B19101_006,25000 to 29999,All Families,433,169,27331,2022
51003,"Albemarle County, Virginia",B19101_007,30000 to 34999,All Families,501,176,27331,2022
51003,"Albemarle County, Virginia",B19101_008,35000 to 39999,All Families,556,161,27331,2022
51003,"Albemarle County, Virginia",B19101_009,40000 to 44999,All Families,474,177,27331,2022
51003,"Albemarle County, Virginia",B19101_010,45000 to 49999,All Families,507,190,27331,2022
51003,"Albemarle County, Virginia",B19101_011,50000 to 59999,All Families,1340,293,27331,2022
51003,"Albemarle County, Virginia",B19101_012,60000 to 74999,All Families,1768,309,27331,2022
51003,"Albemarle County, Virginia",B19101_013,75000 to 99999,All Families,3380,348,27331,2022
51003,"Albemarle County, Virginia",B19101_014,100000 to 124999,All Families,3240,386,27331,2022
51003,"Albemarle County, Virginia",B19101_015,125000 to 149999,All Families,2680,312,27331,2022
51003,"Albemarle County, Virginia",B19101_016,150000 to 199999,All Families,4241,500,27331,2022
51003,"Albemarle County, Virginia",B19101_017,200000 or more,All Families,7012,599,27331,2022
51029,"Buckingham County, Virginia",B19101_001,Total Families,All Families,3975,241,3975,2022
51029,"Buckingham County, Virginia",B19101_002,Less than 10000,All Families,90,50,3975,2022
51029,"Buckingham County, Virginia",B19101_003,10000 to 14999,All Families,135,89,3975,2022
51029,"Buckingham County, Virginia",B19101_004,15000 to 19999,All Families,138,84,3975,2022
51029,"Buckingham County, Virginia",B19101_005,20000 to 24999,All Families,75,50,3975,2022
51029,"Buckingham County, Virginia",B19101_006,25000 to 29999,All Families,170,72,3975,2022
51029,"Buckingham County, Virginia",B19101_007,30000 to 34999,All Families,243,115,3975,2022
51029,"Buckingham County, Virginia",B19101_008,35000 to 39999,All Families,133,64,3975,2022
51029,"Buckingham County, Virginia",B19101_009,40000 to 44999,All Families,44,27,3975,2022
51029,"Buckingham County, Virginia",B19101_010,45000 to 49999,All Families,143,80,3975,2022
51029,"Buckingham County, Virginia",B19101_011,50000 to 59999,All Families,242,87,3975,2022
51029,"Buckingham County, Virginia",B19101_012,60000 to 74999,All Families,461,121,3975,2022
51029,"Buckingham County, Virginia",B19101_013,75000 to 99999,All Families,705,184,3975,2022
51029,"Buckingham County, Virginia",B19101_014,100000 to 124999,All Families,434,113,3975,2022
51029,"Buckingham County, Virginia",B19101_015,125000 to 149999,All Families,382,140,3975,2022
51029,"Buckingham County, Virginia",B19101_016,150000 to 199999,All Families,391,131,3975,2022
51029,"Buckingham County, Virginia",B19101_017,200000 or more,All Families,189,90,3975,2022
51065,"Fluvanna County, Virginia",B19101_001,Total Families,All Families,7432,332,7432,2022
51065,"Fluvanna County, Virginia",B19101_002,Less than 10000,All Families,66,52,7432,2022
51065,"Fluvanna County, Virginia",B19101_003,10000 to 14999,All Families,45,39,7432,2022
51065,"Fluvanna County, Virginia",B19101_004,15000 to 19999,All Families,91,70,7432,2022
51065,"Fluvanna County, Virginia",B19101_005,20000 to 24999,All Families,44,43,7432,2022
51065,"Fluvanna County, Virginia",B19101_006,25000 to 29999,All Families,137,73,7432,2022
51065,"Fluvanna County, Virginia",B19101_007,30000 to 34999,All Families,189,126,7432,2022
51065,"Fluvanna County, Virginia",B19101_008,35000 to 39999,All Families,181,67,7432,2022
51065,"Fluvanna County, Virginia",B19101_009,40000 to 44999,All Families,70,65,7432,2022
51065,"Fluvanna County, Virginia",B19101_010,45000 to 49999,All Families,141,67,7432,2022
51065,"Fluvanna County, Virginia",B19101_011,50000 to 59999,All Families,615,218,7432,2022
51065,"Fluvanna County, Virginia",B19101_012,60000 to 74999,All Families,726,250,7432,2022
51065,"Fluvanna County, Virginia",B19101_013,75000 to 99999,All Families,1308,252,7432,2022
51065,"Fluvanna County, Virginia",B19101_014,100000 to 124999,All Families,1344,259,7432,2022
51065,"Fluvanna County, Virginia",B19101_015,125000 to 149999,All Families,637,162,7432,2022
51065,"Fluvanna County, Virginia",B19101_016,150000 to 199999,All Families,976,240,7432,2022
51065,"Fluvanna County, Virginia",B19101_017,200000 or more,All Families,862,221,7432,2022
51079,"Greene County, Virginia",B19101_001,Total Families,All Families,5753,288,5753,2022
51079,"Greene County, Virginia",B19101_002,Less than 10000,All Families,81,61,5753,2022
51079,"Greene County, Virginia",B19101_003,10000 to 14999,All Families,142,86,5753,2022
51079,"Greene County, Virginia",B19101_004,15000 to 19999,All Families,154,95,5753,2022
51079,"Greene County, Virginia",B19101_005,20000 to 24999,All Families,57,84,5753,2022
51079,"Greene County, Virginia",B19101_006,25000 to 29999,All Families,107,71,5753,2022
51079,"Greene County, Virginia",B19101_007,30000 to 34999,All Families,96,53,5753,2022
51079,"Greene County, Virginia",B19101_008,35000 to 39999,All Families,210,129,5753,2022
51079,"Greene County, Virginia",B19101_009,40000 to 44999,All Families,235,90,5753,2022
51079,"Greene County, Virginia",B19101_010,45000 to 49999,All Families,70,53,5753,2022
51079,"Greene County, Virginia",B19101_011,50000 to 59999,All Families,160,87,5753,2022
51079,"Greene County, Virginia",B19101_012,60000 to 74999,All Families,987,266,5753,2022
51079,"Greene County, Virginia",B19101_013,75000 to 99999,All Families,885,234,5753,2022
51079,"Greene County, Virginia",B19101_014,100000 to 124999,All Families,633,264,5753,2022
51079,"Greene County, Virginia",B19101_015,125000 to 149999,All Families,508,159,5753,2022
51079,"Greene County, Virginia",B19101_016,150000 to 199999,All Families,829,163,5753,2022
51079,"Greene County, Virginia",B19101_017,200000 or more,All Families,599,182,5753,2022
51109,"Louisa County, Virginia",B19101_001,Total Families,All Families,10554,456,10554,2022
51109,"Louisa County, Virginia",B19101_002,Less than 10000,All Families,73,68,10554,2022
51109,"Louisa County, Virginia",B19101_003,10000 to 14999,All Families,172,98,10554,2022
51109,"Louisa County, Virginia",B19101_004,15000 to 19999,All Families,325,152,10554,2022
51109,"Louisa County, Virginia",B19101_005,20000 to 24999,All Families,165,94,10554,2022
51109,"Louisa County, Virginia",B19101_006,25000 to 29999,All Families,224,116,10554,2022
51109,"Louisa County, Virginia",B19101_007,30000 to 34999,All Families,472,199,10554,2022
51109,"Louisa County, Virginia",B19101_008,35000 to 39999,All Families,300,154,10554,2022
51109,"Louisa County, Virginia",B19101_009,40000 to 44999,All Families,346,170,10554,2022
51109,"Louisa County, Virginia",B19101_010,45000 to 49999,All Families,333,135,10554,2022
51109,"Louisa County, Virginia",B19101_011,50000 to 59999,All Families,789,197,10554,2022
51109,"Louisa County, Virginia",B19101_012,60000 to 74999,All Families,904,212,10554,2022
51109,"Louisa County, Virginia",B19101_013,75000 to 99999,All Families,1539,290,10554,2022
51109,"Louisa County, Virginia",B19101_014,100000 to 124999,All Families,1409,240,10554,2022
51109,"Louisa County, Virginia",B19101_015,125000 to 149999,All Families,1077,244,10554,2022
51109,"Louisa County, Virginia",B19101_016,150000 to 199999,All Families,1289,293,10554,2022
51109,"Louisa County, Virginia",B19101_017,200000 or more,All Families,1137,220,10554,2022
51125,"Nelson County, Virginia",B19101_001,Total Families,All Families,3915,311,3915,2022
51125,"Nelson County, Virginia",B19101_002,Less than 10000,All Families,204,116,3915,2022
51125,"Nelson County, Virginia",B19101_003,10000 to 14999,All Families,12,20,3915,2022
51125,"Nelson County, Virginia",B19101_004,15000 to 19999,All Families,59,53,3915,2022
51125,"Nelson County, Virginia",B19101_005,20000 to 24999,All Families,56,48,3915,2022
51125,"Nelson County, Virginia",B19101_006,25000 to 29999,All Families,34,35,3915,2022
51125,"Nelson County, Virginia",B19101_007,30000 to 34999,All Families,136,95,3915,2022
51125,"Nelson County, Virginia",B19101_008,35000 to 39999,All Families,161,84,3915,2022
51125,"Nelson County, Virginia",B19101_009,40000 to 44999,All Families,99,77,3915,2022
51125,"Nelson County, Virginia",B19101_010,45000 to 49999,All Families,132,93,3915,2022
51125,"Nelson County, Virginia",B19101_011,50000 to 59999,All Families,385,145,3915,2022
51125,"Nelson County, Virginia",B19101_012,60000 to 74999,All Families,336,144,3915,2022
51125,"Nelson County, Virginia",B19101_013,75000 to 99999,All Families,626,168,3915,2022
51125,"Nelson County, Virginia",B19101_014,100000 to 124999,All Families,439,148,3915,2022
51125,"Nelson County, Virginia",B19101_015,125000 to 149999,All Families,227,113,3915,2022
51125,"Nelson County, Virginia",B19101_016,150000 to 199999,All Families,423,146,3915,2022
51125,"Nelson County, Virginia",B19101_017,200000 or more,All Families,586,154,3915,2022
51540,"Charlottesville city, Virginia",B19101_001,Total Families,All Families,8805,521,8805,2022
51540,"Charlottesville city, Virginia",B19101_002,Less than 10000,All Families,455,166,8805,2022
51540,"Charlottesville city, Virginia",B19101_003,10000 to 14999,All Families,303,147,8805,2022
51540,"Charlottesville city, Virginia",B19101_004,15000 to 19999,All Families,0,28,8805,2022
51540,"Charlottesville city, Virginia",B19101_005,20000 to 24999,All Families,168,103,8805,2022
51540,"Charlottesville city, Virginia",B19101_006,25000 to 29999,All Families,163,86,8805,2022
51540,"Charlottesville city, Virginia",B19101_007,30000 to 34999,All Families,119,90,8805,2022
51540,"Charlottesville city, Virginia",B19101_008,35000 to 39999,All Families,381,162,8805,2022
51540,"Charlottesville city, Virginia",B19101_009,40000 to 44999,All Families,129,87,8805,2022
51540,"Charlottesville city, Virginia",B19101_010,45000 to 49999,All Families,267,138,8805,2022
51540,"Charlottesville city, Virginia",B19101_011,50000 to 59999,All Families,388,140,8805,2022
51540,"Charlottesville city, Virginia",B19101_012,60000 to 74999,All Families,598,164,8805,2022
51540,"Charlottesville city, Virginia",B19101_013,75000 to 99999,All Families,1043,272,8805,2022
51540,"Charlottesville city, Virginia",B19101_014,100000 to 124999,All Families,1021,219,8805,2022
51540,"Charlottesville city, Virginia",B19101_015,125000 to 149999,All Families,683,190,8805,2022
51540,"Charlottesville city, Virginia",B19101_016,150000 to 199999,All Families,1174,264,8805,2022
51540,"Charlottesville city, Virginia",B19101_017,200000 or more,All Families,1913,220,8805,2022
