below_ess_finc,hhldr_race_ethn,count,percent
No,White,42383,85.82681948888259
No,Black,3018,6.111538617309951
No,Asian,1265,2.5616621441010894
No,Hispanic,1344,2.7216394637722248
No,Multiracial,1199,2.4280102061479893
No,Some Other Race,111,0.22477825928475964
No,AI/AN/NH/PI,62,0.12555182050139727
Yes,White,8919,65.2021346589663
Yes,Black,3121,22.815995321295414
Yes,Asian,393,2.8730170334088747
Yes,Hispanic,866,6.330872139776298
Yes,Multiracial,246,1.7983770743475398
Yes,Some Other Race,58,0.4240076028949485
Yes,AI/AN/NH/PI,76,0.5555961693106222
