num_adults,num_children,family_type,count
2,0,a2i0p0s0t0,5069
3,0,a3i0p0s0t0,751
1,1,a1i0p0s1t0,537
2,1,a2i1p0s0t0,379
1,1,a1i0p0s0t1,373
2,1,a2i0p0s0t1,345
2,3,a2i0p0s1t2,297
2,2,a2i0p1s1t0,279
2,2,a2i0p0s2t0,266
2,1,a2i0p1s0t0,264
2,2,a2i1p1s0t0,256
2,1,a2i0p0s1t0,228
4,0,a4c0,209
1,3,a1i0p1s2t0,204
2,2,a2i0p0s1t1,189
1,2,a1i0p0s2t0,186
1,2,a1i0p0s1t1,169
2,2,a2i2p0s0t0,153
2,2,a2i0p1s0t1,152
2,2,a2i1p0s1t0,150
2,3,a2i1p1s1t0,145
2,4,a2i1p0s3t0,135
4,1,a4c1,134
1,1,a1i1p0s0t0,126
4,3,a4c3,123
2,2,a2i0p0s0t2,119
1,3,a1i0p0s2t1,116
2,3,a2i0p0s2t1,112
1,3,a1i1p1s1t0,111
2,3,a2i0p2s1t0,110
3,2,a3i0p0s1t1,104
2,3,a2i1p2s0t0,103
3,1,a3i0p0s1t0,100
3,2,a3i0p0s0t2,91
3,2,a3i1p0s1t0,82
2,3,a2i0p1s1t1,79
1,4,a1i1p1s2t0,77
3,1,a3i0p0s0t1,74
2,3,a2i0p1s2t0,69
3,4,a3i0p0s2t2,68
1,2,a1i0p0s0t2,67
1,2,a1i0p1s1t0,54
1,2,a1i1p1s0t0,50
1,5,a1i0p1s2t2,45
2,7,a2c7,44
4,4,a4c4,37
3,3,a3i0p0s2t1,36
3,3,a3i2p0s1t0,36
1,1,a1i0p1s0t0,32
1,4,a1i0p1s3t0,31
2,5,a2i0p1s4t0,31
3,3,a3i0p0s1t2,30
1,2,a1i2p0s0t0,29
2,5,a2i0p0s3t2,29
3,2,a3i0p0s2t0,29
1,3,a1i2p1s0t0,28
1,3,a1i0p1s1t1,27
2,4,a2i0p0s2t2,27
7,0,a7c0,24
1,2,a1i1p0s1t0,23
2,4,a2i0p2s2t0,23
3,2,a3i0p1s1t0,23
2,6,a2i2p1s2t1,22
3,2,a3i2p0s0t0,22
1,4,a1i0p0s2t2,20
2,3,a2i1p1s0t1,20
2,4,a2i1p0s2t1,20
3,3,a3i1p0s1t1,20
5,0,a5c0,19
2,3,a2i2p1s0t0,18
3,3,a3i0p2s1t0,18
2,2,a2i1p0s0t1,17
1,3,a1i0p0s3t0,14
2,3,a2i0p0s3t0,14
5,2,a5c2,14
2,4,a2i0p0s1t3,13
2,5,a2i1p2s2t0,13
2,4,a2i2p0s2t0,12
2,5,a2i1p0s3t1,12
3,1,a3i1p0s0t0,12
1,3,a1i0p0s1t2,11
1,3,a1i3p0s0t0,11
2,4,a2i1p2s1t0,10
1,5,a1i1p0s3t1,9
2,3,a2i1p0s2t0,9
4,2,a4c2,9
5,1,a5c1,8
3,3,a3i0p1s2t0,7
1,3,a1i0p2s0t1,5
2,4,a2i1p1s1t1,5
1,2,a1i0p2s0t0,3
2,4,a2i0p1s1t2,3
